Дата   | Время  | Задачи
       |        |
13.01  | 8ч     | Первая глава. "История развития языка Java". Конпектировал главу. 
       |        | Глава вторая. "Краткий обзор Java". Конспектировал главу, набрал свою первую программу на Java 
14.01  | 8ч     | Продолжение изучения второй главы "Краткий обзор Java" с набором примеров кода.
       |        | Третья глава. "Типы данных, переменные и массивы". Конспектирование главы с набором примеров кода.
15.01  | 9ч.    | Четвертая глава."Операции". Конспектирование главы с набором примеров кода. 
       |        | Создание плана на ближайшие спринты и создание набросков плана на весь курс обучения
16.01  | 8-9ч   | Пятая глава. "Управляющие операторы". Чтение, конспектирование, набор примеров кода.
       |        | Закончить составление плана на текущий спринт.
17.01  | 8-9ч   | Девятая глава. "Пакеты и интерфейсы". Только то что касается темы "Пакетов". Конспектирование, набор примеров программ.
18.01  | 8-10ч  | Десятая глава. "Обработка исключений". Конспектирование, верстка кода, повторение предыдущих тем.
19.01  | 8-10ч  | Двенадцатая глава. "Перечисления, автоупаковка и аннотации (метаданные)".Без аннотаций. Конспектирование, набор примеров программ, повторение предыдущих тем.
       |        | Планирование и составление плана на ближайшие на ближайшие спринты/весь курс обучения.
20.01  | 8-9ч   | Подготовка к сдаче Контрольной точки. Повторение всех тем.
       |        | Планирование и составление плана на ближайшие на ближайшие спринты/весь курс обучения.  
21.01  | 8-9ч   | Планирование и составление плана на ближайшие на ближайшие спринты/весь курс обучения.    
       |        |
22.01  |        | Сдача первой кт 
или    |        |
24.01  |        | Сдача первой кт 
