Дата   |Время   |Задачи
       |        |
02.04  |   8ч   | Отредактировать план на стажировку
       |        | Wordle: Проверка введенных пользователем слов на существование(проверка
       |        | слов из файла)
       |        | 6я глава Шилдта "Введение в классы" 
       |        |
03.04  |   8ч   | Составить План на спринт
       |        | Wordle: Проверка введенных пользователем слов на существование(проверка
       |        | слов из файла) 
       |        |
04.04  |   8ч   | Подготовка к КТ: главы Шилдта 6, 7, 8 "Введение в классы", "Подробное рассмотрение 
       |        | классов и методов", "Наследование" соответственно.
       |        | Доработка Wordle
       |        |
07.04  |   8ч   | КТ по главам Шилдта 6, 7, 8 "Введение в классы", "Подробное рассмотрение 
       |        | классов и методов", "Наследование" соответственно.
       |        |  
08.04  |   8ч   | Работа над ошибками после КТ
       |        | Доработка Wordle
       |        | Анализ пройденного спринта
