//Так как изучение 19 главы "Пакет java.util Collections Frameworks" я не закончил, я переношу эту задачу на текущий спринт

Дата   | Время  | Задачи
       |        |
19.02  |   8ч   | Закончить чтение главы 19 "Пакет java.util Collections Frameworks". 
       |        | Набрать и скомпилировать все примеры тестовые.
       |        | Составить план на текущий спринт, с учетом моей ошибки, что я мало времени выделяю на объемные главы.
       |        | Перейти к 20й главе "Пакет java.util часть II". 
       |        | 
20.02  |   8ч   | Подготовка к КТ. повторение глав, "Краткий обзор Java" "Типы данных переменных и массивы"
       |        |  
21.02  |   8ч   | Подготовка к КТ. повторение глав "Пакеты",
       |        | "Обработка Исключений". 
       |        | 
22.02- |   4ч-  | Подготовка к КТ. Повторение главы "Перечисления", "Введение в классы"
-23.02 |  -16ч  | "Подробное рассмотрение классов и методов".
       |        | 
       |        | 
24.02  |   8ч   | Перейти к чтению java.util Часть II или повторить пройденные темы, закрыть возникшие вопросы
       |        | путем консультации
       |        | Сдача КТ 1.1
25.02  |   8ч   | Продолжение изучения 20й главы "Пакет java.util часть II". 
       |        | Анализ пройденного спринта
