Дата   | Время   | Задачи
       |        |
26.02  |   8ч   | Перейти к решению практического задания "Cчастливые билеты"
       |        | Добиться рабочей версии с правильным алгоритмом вывода, Научиться писать bat-скрипты.
       |        | Прочитать "Введение" в Git.
       |        | Прочитать первую и вторую главы "Ruby. Объектно-ориентированное проектирование".
       |        | Записаться на КТ по Git`y.
       |        |
27.02  |   8ч   | Прочитать третью и четвёртую главы "Ruby. Объектно-ориентированное проектирование."
       |        | Продолжить решение практического задания "Cчастливые билеты". Распределить функционал по классам.
       |        | Прочитать "Основы" Git.
       |        |
28.02  |   8ч   | Прочитать "Ветвление" в Git.
       |        | Завершить выполнение задания "Счастливые билеты".
       |        | 
01.03- |   4ч-  | Повторение материала по Git`y.
-02.03 |  -16ч  | Вернуться к чтению главы 20 "Пакет java.util Прочие служебные классы".
       |        | Перейти к разработке игры Wordle, как консольное приложение.
       |        | 
03.03  |   8ч   | Повторение материала по Git`y.
       |        | Разработка игры Wordle, как консольное приложение. Добиться рабочей версии.
       |        | 
04.03  |   8ч   | Сдача КТ по Git`y.
       |        | Разработка игры Wordle, как консольное приложение.
       |        | Анализ спринта
